id,clean_text,Label
8998,Nepal introduces new text books with revised map incorporating Indian areas,True
43316,"Fact Check: Dogs Roaming In Osmania Hospital, Hyderabad During COVID Times?",False
38359,Fact Check: This is not Saryu Roy dancing after defeating Jharkhand CM Raghubar Das,False
9221,Telangana brings new law doing away with approvals for construction,True
52701,"Fact Check: Old video of dogs roaming around in Osmania Hospital wards resurfaces amid pandemic. Fact Check: Dogs Roaming In Osmania Hospital, Hyderabad During COVID Times?",False
10535,"Contest 2024 poll on Rafale plank, Goyal dares Rahul",True
28418,"Nair pride, Sabarimala & elitism BJP's recipe to wrest Kerala capital from Shashi Tharoor",True
45462,Crazy sex run by Irish sheep after consuming Viagra? Indian media falls for satire,False
43175,Kerala Floods: BJP ministers did not donate Rs 25 crores cheque,False
34321,"Ahead of Trump's visit, India offers to open up to US agri, poultry exports for limited trade deal",True
35495,"Coalition politics or Hindutva? Shiv Senas Ram Mandir dilemma has left party confused, angry",True
39569,"Rahul Gandhis claim of new word Modilie is not true, Oxford Dictionaries confirm",False
13758,Noted Malayalam film director Sachidanandan dies at 48,True
19407,ED files charge sheet against Kashmiri separatist leader Shabir Shah's wife Bilquis,True
27244,Celebrations begin as AAP's Raghav Chadha takes strong lead in Rajinder Nagar,True
26659,"Opposition hooliganism prevented voting on farm bills, says BJP MP Bhupender Yadav",True
2593,"4.6 magnitude earthquake hits Haryana; strong tremors felt in Delhi, nearby areas",True
21501,Free entry for women at monuments across country on Women's Day,True
47346,Were pro-Pakistan slogans raised at AIMIM rally in Ghaziabad?,False
27449,BJP leads in 11 of 15 assembly seats as counting for Karnataka bypolls underway,True
19685,Agriculture Minister told us to approach Supreme Court for repeal of farm laws: Farmers' leader,True
39812,"No, this is not a photo of the Kumbh Mela, a Hindu festival in north India",False
19034,"Rajasthan DGP Bhupendra Singh retires, appointed as RPSC chairman",True
15123,SC issues notice to Centre on PIL seeking ban on 'Zoom' app,True
16563,SC shocked to see shirtless man on screen during virtual hearing,True
48219,Military Drill Videos From Indonesia And Russia Go Viral As That Of...,False
1892,"Uttarakhand: At least 3 killed, 3 rescued alive after building collapses in Dehradun",True
38508,Fact Check: Netas push dubious website on social media urging donations for PM CARES,False
45850,Images of Gwalior fort shared as Jain temple discovered upon demolition of mosque in Karnataka,False
51081,Graphic Claiming MHA Has Asked Schools To Be Shut Till Year End Is,False
24257,Ayodhya Case: Supreme Court issues notice to two for threatening lawyer Rajeev Dhavan,True
8875,Rajya Sabha clears 2 farm Bills amid bedlam,True
36630,From done deal with NC to Independent: What changed Kashmir IAS topper Shah Faesals mind,True
48029,Fake News Floods Social Media In The Aftermath Of Pulwama,False
50832,Old video shared as the recent incident where police was attacked during lockdown in Aurangabad,False
33372,"Body of migrant worker 'found in toilet of Shramik Special train' in UP; none reported incident, clarifies Railways",True
20845,India cancels COVID-19 testing kits orders from China; claims won't lose a single rupee,True
11222,Quickly process claims under insurance scheme for COVID-19 health workers: Centre to states,True
1635,"AI Express aircraft skids off runaway in Kozhikode, rescue ops on",True
45841,February round-up: Misinformation industry feeds off Pulwama attack and Indo-Pak tension,False
14738,11 more healthcare workers at AIIMS test positive for COVID-19,True
29179,BJP sees silver lining as Congress ups ante on Rafale deal,True
41764,Oil Ministers Claim: Services Job Growth At 7-Year High. Fact: True,False
30779,"Live in UP & have well-stocked 'home bar'? You'll need a Rs 12,000 annual liquor licence soon",True
28303,"Songs, slogans & hashtags the quick, cheap way Haryana & Punjab are pepping up polls",True
53858,COVID-19: Video Of Patient Gasping For Breath Falsely Linked To India,False
46303,Have The Number Of Families Under Poverty Increased In Gujarat?,False
8502,AAI plans to upgrade runways at seven airports by March 2022,True
10888,"Prez, PM pay respects to Vajpayee on his death anniversary",True
